材质,别名/俗称,硬度档,Janka下限(lbf),Janka上限(lbf),切配手感,剁骨耐受,防霉,结构耐用,重量,价格下限(¥),价格上限(¥),推荐厚度,工艺安全,核心备注
乌檀木⚠(商业统称),风车木/皮灰等(商业统称·按市售主流~1900估),硬,1500,2500,4.0,3.8,3.8,4.0,3.9,120,300,3–3.5cm,拼接·高概率(务必确认食品级胶),商业统称(风车木/皮灰等，非单一树种)；按市售主流~1900 lbf 估值；市售多为拼接板，务必认整木/食品级胶
柞木,蒙古栎（橡木近亲）,硬,1600,1600,3.8,4.3,3.2,4.1,3.9,120,300,3–3.5cm,整木无胶,国产硬木便宜耐用，略偏重
红橡,Red Oak,硬,1300,1300,3.8,4.2,3.0,4.0,3.9,150,350,3–3.5cm,拼接·低概率(整木可求),红橡管孔粗吸水易黑霉，防霉偏低(3.0)；同档白橡更优。幅面大常拼接，认食品级胶
白橡,White Oak,硬,1300,1300,3.8,4.2,3.5,4.0,3.9,180,380,3–3.5cm,拼接·低概率(整木可求),白橡含单宁天然抑菌，防霉(3.5)优于红橡；幅面大常拼接，认食品级胶
枫木,硬枫,硬,1450,1450,3.8,4.2,3.5,4.0,3.9,180,400,3–3.5cm,整木无胶,闭孔硬木细密不掉屑，切配舒适耐磨
菠萝格,印茄木,硬,1920,1920,3.6,4.4,4.5,4.5,2.8,200,500,3–3.5cm,整木无胶,含油免养扛剁极防霉；重、回弹少、贵；新板头几周遇水易析出红黄色单宁(掉色)，染台面/浅色衣物，头几周垫布+勤擦干，之后稳定
相思木,金合欢,硬,1870,1870,3.8,4.3,3.8,4.0,3.9,150,400,3–3.5cm,拼接·高概率(务必确认食品级胶),硬木含油防霉；大尺寸整板少，多为拼接，认食品级胶
皂角木,皂荚,硬,1580,1580,3.8,4.3,3.8,4.0,3.9,120,280,3–3.5cm,整木无胶,传统好料，密硬稳定，小众性价比高；⚠硬度极高韧性偏低，南方极端干湿环境下开裂风险升高，注意养护
柚木,Teak（警惕冒充）,中硬,1070,1070,3.6,3.8,4.5,4.5,3.5,300,1200,3–3.5cm,整木无胶,护理最简极防霉能剁；真缅甸柚木38cm整板常>800元，市面300-500多为人工柚木/其他木冒充，买前辨真伪
梨木,中国梨木,硬,1700,1700,4.2,4.2,3.5,4.0,3.9,200,450,3–3.5cm,整木无胶,中硬回弹好护刀，切果蔬舒服；别狂剁大骨；⚠中国梨木品种混杂(豆梨/沙梨等)，不同产地密度差异大，认大品牌/整木
樱桃木,黑樱桃,中,995,995,4.0,3.6,3.5,3.8,4.2,300,600,2.5–3cm,整木无胶,温润回弹护刀，重刀一般，偏贵；⚠偏软不适合剁骨；氧化变色快(粉红→深棕)，介意慎选
胡桃木,黑胡桃,中,1010,1010,4.0,3.6,3.5,3.8,4.2,350,700,2.5–3cm,拼接·低概率(整木可求),护刀手感好漂亮；贵，不适合重剁；大板常拼接认食品级胶
枣木,Jujube,硬/极硬,2600,2600,3.0,4.5,3.5,3.5,3.8,100,200,4–6cm（厚墩·剁骨）,整木无胶,新料内应力大易裂老料才稳；偏重伤刀略高；圆墩剁馅好薄切板存疑；市售多染色冒充(桉木等假货)，认老料/整木
绿柄桑,Iroko（非洲柚木）,硬,1550,1550,3.7,4.2,4.0,4.0,3.9,150,350,3–3.5cm,整木无胶,"非洲硬木稳定防霉；注意≠奥古曼(Okoume,软木Janka~450)"
榆木,中国榆,中硬,1100,1100,3.8,3.8,3.0,3.3,4.2,80,200,3–3.5cm,整木无胶,便宜但易裂纹理粗，轻切凑合
榉木,欧洲榉/山毛榉,硬,1300,1300,3.6,4.2,3.0,3.5,3.9,120,300,3–3.5cm,拼接·低概率(整木可求),稳定一般易霉需勤养；大板常拼接认食品级胶
桦木,白桦,硬,1260,1260,3.5,4.0,2.8,3.3,3.9,100,250,3–3.5cm,整木无胶,便宜硬木但易霉需立洗立干
银杏木,白果木,软,500,500,4.0,1.5,3.5,3.0,3.0,60,150,1.5–2.5cm（薄·果蔬辅食）,整木无胶,含树脂抑菌、厨师常用菜墩；软不能剁骨(剁骨耐受1.5)易留深痕掉屑（切配辅食专用）；⚠过软易留深痕，痕内易藏食物残渣，需刷洗晾干
桧木,香柏/日桧,软,500,500,4.5,1.5,4.0,3.0,3.0,200,600,1.5–2.5cm（薄·果蔬辅食）,整木无胶,芳香耐腐回弹护刀极好；软不能剁骨贵（切配辅食专用）
楸木/椴木,核桃楸/椴,软,450,450,4.0,1.5,3.0,3.0,3.0,70,180,1.5–2.5cm（薄·果蔬辅食）,整木无胶,轻软护刀回弹好，不能剁骨，辅食/面点板（切配辅食专用）
铁木,蚬木,极硬,3700,3700,2.5,5.0,4.5,5.0,2.5,200,500,4–6cm（厚墩·剁骨）,整木无胶；国家二级保护植物,极硬无回弹伤刀极重；扛剁防霉顶级但日常切配差，家用不省心（避开）。⚠国家二级保护植物，正规渠道慎购，市售多冒充；极硬木南方回南天干湿剧变开裂风险高，需勤养护(勿暴晒/空调直吹)
重蚁木,Ipe/鸡翅,极硬,3680,3680,2.5,5.0,4.8,5.0,2.5,300,700,4–6cm（厚墩·剁骨）,整木无胶,极硬极防霉极耐造；重伤刀，日常切配差（避开）；极硬木南方回南天干湿剧变开裂风险高，需勤养护(勿暴晒/空调直吹)
橄榄木,Olive,硬,1700,1700,3.7,4.2,3.8,3.8,3.9,250,600,3–3.5cm,拼接·低概率(整木可求),美观多拼接；贵，性价比一般，认食品级胶
板栗木,板栗,软,540,540,3.5,1.5,2.8,3.0,3.0,80,200,1.5–2.5cm（薄·果蔬辅食）,整木无胶,易霉质软（切配辅食专用）
橡胶木,Para,中,980,980,3.8,3.6,2.5,3.0,4.2,60,150,2.5–3cm,脲醛胶风险(不推荐日常主力),便宜但易霉易变形，天天用不推荐；市售几乎100%拼接且多用脲醛胶(甲醛风险高)；经济林割胶副产品环保占优
